COD_ALUMNO;201901;201902;202001;202002;cuantos ciclos tiene el alumno;curricula ;nivel alumno;201901;201902;202001;202002;18;23;27;MAX_CREDITAJE;NUM_TURNO;POND_ACTUAL;POND_ACUMULADO;NUM_OBS_CONS;NUM_OBS_ALTE;TIPO_MERITO;m_habil_COD_CURSO;201901;201902;202001;202002;201901;201902;202001;202002;COD_ESTADO_MAT_CUR;NUM_VEZ_CURSO;Extra_acad;NO;SI;promadio de aprobacion de cursos de manera historica;ADMINISTRACION;ADMINISTRACION Y MARKETING;ADMINISTRACION Y RECURSOS HUMANOS;CIENCIAS;ECONOMIA Y NEGOCIOS INTERNACIONALES;HUMANIDADES;INGENIERIA INDUSTRIAL;INICIATIVA EMPRESARIAL;TRADUCCION E INTERPRETACION PROFESIONAL;#N/D;m_habil_DES_TIPO_INGRESO;SEXO;Edad;201901;201902;202001;202002;0;1;RIESGO
201818909;8;9;11;11;4;44;5;18;23;27;23;1;2;1;3.5;99;14.46;14.72;0;1;3;11;8;9;11;11;4;5;6;7;56%;;0;1;14;64%;0%;0%;0%;83%;0%;0%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;1;19;0;0;0;0;4;0;0
201621635;6;7;9;12;4;44;3;18;18;23;23;2;2;0;3.5;110;13.45;10.24;2;3;0;12;6;7;9;12;3;4;5;0;35%;;0;4;8;67%;0%;0%;0%;100%;0%;0%;50%;0%;0%;0%;EVALUACION INTEGRAL;1;23;0;1;0;0;3;1;0
201710287;11;4;6;7;4;44;3;18;18;18;27;3;0;1;4;57;16.24;12.25;2;1;0;7;11;4;6;7;2;2;4;6;50%;;0;3;5;36%;0%;0%;0%;80%;0%;0%;50%;0%;0%;0%;SELECCIÓN PREFERENTE;0;22;1;1;1;0;1;3;0
201720918;7;8;11;11;4;44;4;18;23;23;23;1;3;0;3.5;107;55;13.92;0;0;0;11;7;8;11;11;4;4;5;5;49%;;0;7;6;33%;0%;0%;0%;43%;0%;0%;50%;0%;0%;0%;SELECCIÓN PREFERENTE;0;21;1;0;0;0;3;1;0
201810705;7;6;6;6;4;44;2;23;23;23;23;0;4;0;4;108;55;14.1;0;0;0;6;7;6;6;6;4;4;5;0;52%;;0;7;6;46%;0%;0%;0%;43%;0%;100%;0%;0%;0%;0%;EVALUACION INTEGRAL;0;22;0;0;0;0;4;0;0
201820634;9;8;7;12;4;44;5;27;27;27;27;0;0;4;5;44;16.77;15.94;0;0;3;12;9;8;7;12;5;5;5;6;58%;;0;0;15;71%;0%;0%;0%;100%;0%;100%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;0;19;0;0;0;0;4;0;0
201724562;6;6;10;11;4;44;5;23;18;23;27;1;2;1;4.5;47;16.64;13.77;0;1;3;11;6;6;10;11;5;4;5;7;64%;;0;3;11;52%;0%;0%;0%;86%;0%;100%;75%;0%;0%;0%;EVALUACION INTEGRAL;0;21;0;1;0;0;3;1;0
20171F132;4;6;8;10;4;44;5;27;27;27;27;0;0;4;5;53;16.41;15.54;0;0;5;10;4;6;8;10;3;4;5;6;64%;;0;0;12;67%;0%;0%;0%;100%;100%;0%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;0;21;0;0;0;0;4;0;0
20181B732;6;;5;6;3;44;3;23;0;23;27;0;2;1;4.5;21;18;15.27;0;0;1;6;6;0;5;6;0;0;5;6;65%;;0;0;5;45%;0%;0%;0%;100%;100%;100%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;0;19;0;0;0;0;4;0;0
201710268;7;5;6;8;4;44;3;18;18;18;18;4;0;0;1;120;8.4;10.59;7;7;0;8;7;5;6;8;4;4;4;3;58%;;0;9;3;20%;0%;0%;0%;33%;0%;33%;25%;0%;0%;0%;EVALUACION INTEGRAL;1;20;0;0;1;0;3;1;0
201823816;10;5;;;2;41;2;23;23;0;0;0;2;0;4;91;13.14;13.98;0;0;0;5;10;5;0;0;7;0;0;0;47%;;1|;3;3;43%;0%;0%;0%;50%;0%;100%;0%;0%;0%;0%;EVALUACION INTEGRAL;0;20;0;0;0;0;4;0;0
201421363;1;8;9;78;4;44;4;18;23;18;27;2;1;1;4.5;80;15.39;12.44;1;4;0;78;1;8;9;78;1;6;5;7;20%;;0;5;7;37%;0%;0%;0%;40%;0%;0%;71%;0%;0%;0%;ADP REGULAR;1;24;1;0;0;0;3;1;0
201524379;9;11;12;11;4;44;5;23;18;23;23;1;3;0;3.5;110;13.44;13.23;1;2;0;11;9;11;12;11;5;4;6;0;35%;;0;6;9;60%;0%;0%;0%;67%;0%;100%;55%;0%;0%;0%;GENERAL;1;25;0;1;0;0;3;1;0
201818000;5;8;8;12;4;44;4;23;18;18;27;2;1;1;4.5;67;15.88;13.98;2;2;0;12;5;8;8;12;4;4;4;6;55%;;0;6;6;33%;0%;0%;0%;50%;0%;0%;75%;0%;0%;0%;SELECCIÓN PREFERENTE;1;20;0;0;0;0;4;0;0
20181E711;9;9;11;76;4;44;5;27;23;23;27;0;2;2;4.5;60;16.14;15.37;0;0;0;76;9;9;11;76;5;5;6;8;23%;;0;4;12;50%;0%;0%;0%;86%;100%;50%;67%;0%;0%;0%;SELECCIÓN PREFERENTE;1;20;0;0;0;0;4;0;0
201518081;5;4;3;;3;44;2;18;18;18;0;3;0;0;1;105;10.5;9.88;4;6;0;3;5;4;3;0;3;3;0;0;50%;;0;5;1;17%;0%;0%;0%;0%;0%;50%;0%;0%;0%;0%;GENERAL;1;22;0;1;1;0;2;2;0
20171B521;7;6;8;7;4;44;2;18;18;18;18;4;0;0;1;120;8.71;9.49;4;4;0;7;7;6;8;7;0;4;4;0;29%;;0;7;1;13%;0%;0%;0%;25%;0%;0%;0%;0%;0%;0%;EVALUACION INTEGRAL;1;24;0;0;0;1;3;1;1
201810928;6;;;;1;41;2;18;0;0;0;1;0;0;1;98;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0%;;0;#N/D;#N/D;0%;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;BECAS PRONABEC;0;0;0;0;0;0;4;0;0
201716922;7;4;6;10;4;44;3;23;18;23;27;1;2;1;4.5;53;16.4;13.36;1;2;0;10;7;4;6;10;4;4;6;6;74%;;0;2;12;60%;0%;0%;0%;83%;100%;100%;80%;0%;0%;0%;EVALUACION INTEGRAL;0;21;0;0;0;0;4;0;0
201512297;1;4;7;8;4;44;3;18;18;18;23;3;1;0;3.5;109;13.56;12.15;1;5;1;8;1;4;7;8;1;3;4;5;65%;;0;3;5;38%;0%;0%;0%;50%;0%;0%;100%;0%;0%;0%;GENERAL;1;23;1;1;0;0;2;2;0
201721357;13;5;;;2;41;2;18;18;0;0;2;0;0;1;105;11.67;12.61;2;3;0;5;13;5;0;0;5;0;0;0;28%;;0;4;1;20%;0%;0%;0%;0%;0%;0%;50%;0%;0%;0%;EVALUACION INTEGRAL;1;22;0;1;0;0;3;1;0
20181C736;8;4;4;8;4;44;3;18;18;18;27;3;0;1;4;73;15.67;12.72;2;2;0;8;8;4;4;8;5;0;2;6;54%;;1|;2;4;31%;0%;0%;0%;50%;0%;100%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;1;22;0;1;1;0;2;2;0
201514367;1;5;7;10;4;44;3;18;27;27;23;1;1;2;3.5;108;13.7;12.42;0;2;5;10;1;5;7;10;1;4;6;5;70%;;|1;2;8;50%;0%;0%;0%;80%;100%;0%;75%;0%;0%;100%;SELECCIÓN PREFERENTE;1;22;1;0;0;0;3;1;0
201615347;8;9;9;9;4;44;3;18;18;18;23;3;1;0;3.5;103;14.15;12.19;1;4;0;9;8;9;9;9;4;0;3;0;20%;;0;4;3;43%;0%;0%;0%;50%;0%;0%;50%;0%;0%;0%;SELECCIÓN PREFERENTE;0;21;1;1;1;0;1;3;0
201717721;5;5;;;2;41;2;18;18;0;0;2;0;0;1;115;55;11.58;3;3;0;5;5;5;0;0;3;0;0;0;30%;;0;3;0;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;SELECCIÓN PREFERENTE;1;20;1;1;0;0;2;2;0
201819285;8;6;8;8;4;44;3;23;23;18;18;2;2;0;2;114;55;12.8;1;1;0;8;8;6;8;8;5;4;4;0;43%;;0;7;6;46%;0%;0%;0%;43%;0%;100%;25%;0%;0%;0%;SELECCIÓN PREFERENTE;1;19;0;0;0;0;4;0;0
20181F709;9;8;7;12;4;44;4;23;27;23;27;0;2;2;4.5;60;16.14;15;0;0;0;12;9;8;7;12;6;5;5;6;61%;;0;2;14;64%;0%;0%;0%;88%;0%;100%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;1;20;0;0;0;0;4;0;0
201822582;9;7;9;9;4;44;3;18;23;18;18;3;1;0;2;115;55;13.51;1;2;0;9;9;7;9;9;4;4;5;0;38%;;0;7;6;46%;0%;0%;0%;43%;0%;100%;25%;0%;0%;0%;SELECCIÓN PREFERENTE;0;22;0;0;0;0;4;0;0
201812689;7;;;;1;41;2;18;0;0;0;1;0;0;1;101;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0%;;0;#N/D;#N/D;0%;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;SELECCIÓN PREFERENTE;0;0;0;0;0;0;4;0;0
201518271;4;6;9;9;4;44;4;18;23;18;23;2;2;0;3.5;108;13.65;11.85;1;5;0;9;4;6;9;9;4;4;4;6;64%;;0;1;11;61%;0%;0%;0%;86%;0%;100%;100%;0%;0%;0%;GENERAL;1;23;1;0;1;0;2;2;0
20151B851;5;6;6;9;4;44;4;23;18;18;23;2;2;0;3.5;91;14.88;13.62;1;2;0;9;5;6;6;9;5;0;4;5;54%;;0;3;6;43%;0%;0%;0%;60%;0%;0%;75%;0%;0%;0%;SELECCIÓN PREFERENTE;0;23;0;0;0;0;4;0;0
201723591;7;8;12;17;4;44;6;18;27;27;27;1;0;3;4.5;68;15.83;15.3;0;1;3;17;7;8;12;17;4;6;6;6;50%;;0;0;16;73%;0%;0%;0%;100%;0%;0%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;0;22;0;0;0;0;4;0;0
