COD_LINEA_NEGOCIO;COD_PRODUCTO;DESC_PRODUCTO;COD_CURRICULO;DESC_CURRICULO;COD_CURSO;DESC_CURSO;DESC_ABRE_CURSO;clave;COD_DIRECCION;NOM_DIRECCION;COD_CURSO_ELEC;CICLO;CANT_CREDITOS;CANT_CREDEQUIV;FECHA_CREACION;USUARIO_CREACION;FECHA_MODIFICACION;USUARIO_MODIFICACION;TOTAL CRED;201901-41;201902-41;201902-43;202001-44;202001-45;202002-44;202002-45;Total de Habiles;201901-41;201902-41;201902-43;202001-44;202001-45;202002-44;202002-45;Total de matriculados;201901-41;201902-41;201902-43;202001-44;202001-45;Total Aprueban;201901-41;201902-41;201902-43;202001-44;202001-45;Total Desaprueban;201901-41;201902-41;201902-43;202001-44;202001-45;Total retiros;201901-41;201902-41;201902-43;202001-44;202001-45;Total promedio de nota
U;03310004;INGENIERÍA INDUSTRIAL;41;201502 - LU;IN232;EX - INFORMÁTICA PARA LOS NEGOCIOS;EX - INFORM. PARA LOS NEG;41IN232;IN;INGENIERIA INDUSTRIAL;ELECTIVO;09;3;0;20/10/2015;EORDOYA;;;3;0;3;0;2;0;37;1;43;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
U;03310004;INGENIERÍA INDUSTRIAL;41;201502 - LU;IN233;EX - DIRECCIÓN DE EMPRESAS;EX - DIRECCIÓN DE EMPRESA;41IN233;IN;INGENIERIA INDUSTRIAL;ELECTIVO;09;3;0;20/10/2015;EORDOYA;;;3;0;3;0;2;0;36;1;42;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
U;03310004;INGENIERÍA INDUSTRIAL;41;201502 - LU;IN234;EX - SISTEMAS DE INFORMACIÓN;EX - SISTEMAS DE INFORMAC;41IN234;IN;INGENIERIA INDUSTRIAL;ELECTIVO;09;3;0;20/10/2015;EORDOYA;;;3;0;3;0;2;0;37;1;43;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
U;03310004;INGENIERÍA INDUSTRIAL;41;201502 - LU;EF40;ECONOMÍA PARA LA GESTIÓN (ING);ECONOMÍA PARA LA GESTIÓN;41EF40;EN;ECONOMIA Y NEGOCIOS INTERNACIONALES;ELECTIVO;04;3;0;22/05/2015;AGROMERO;30/05/2015;;3;2382;2639;14;2442;266;2096;725;10564;401;345;0;375;0;256;84;1461;142;120;0;278;0;540;259;225;0;97;0;581;136;109;0;51;0;296;11.65283019;11.50423729;;14.34876543;;12.5019443
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU24;NIVELACIÓN DE LENGUAJE;NIVELACIÓN LENGUAJE;42HU24;HU;HUMANIDADES;OBLIGATORIO;00;0;4;2/05/2016;EDALVARE;24/07/2019;JOLIVARE;4;117;30;51;0;0;0;0;198;100;11;29;0;0;0;0;140;76;4;23;0;0;103;24;7;6;0;0;37;10;1;0;0;0;11;14.68888889;10.1;13.96551724;;;12.91813538
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA393;NIVELACIÓN DE MATEMÁTICA;NIVELACIÓN DE MATEM;42MA393;MA;CIENCIAS;OBLIGATORIO;00;0;5;2/05/2016;EDALVARE;27/09/2019;JAGUILAR;5;138;52;57;0;0;0;0;247;105;26;29;0;0;0;0;160;68;18;20;0;0;106;37;8;9;0;0;54;8;3;1;0;0;12;12.96907216;13.2173913;14.14285714;;;13.44310687
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU308;TÉCNICAS DE APRENDIZAJE;TÉCNICAS DE APRENDIZAJE;42HU308;TC;TÉCNICAS ACADÉMICAS;ELECTIVO;01;4;0;2/05/2016;EDALVARE;;;4;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU193;TALLER DE CREATIVIDAD;TALLER DE CREATIVIDAD;42HU193;HU;HUMANIDADES;OBLIGATORIO;01;3;0;2/05/2016;EDALVARE;14/08/2019;FPORRAS;3;741;213;349;74;503;15;504;2399;682;108;309;43;475;7;403;2027;522;73;280;36;378;1289;160;35;29;7;97;328;62;12;13;5;51;143;14.61774194;13.42708333;16.73986486;16.92105263;16.03537736;15.54822402
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN142;FUNDAMENTOS DE INGENIERÍA INDUSTRIAL;FUNDAMENT DE INGEN INDUST;42IN142;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;01;3;0;2/05/2016;EDALVARE;1/08/2019;MZAVALA;3;790;322;376;123;528;32;535;2706;702;211;279;82;455;14;424;2167;532;149;260;64;386;1391;170;62;19;18;69;338;51;17;10;13;40;131;14.13056836;13.3556701;15.95910781;16.08695652;16.35662651;15.17778586
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU03;COMPRENSIÓN Y PRODUCCIÓN DE LENGUAJE I;COMP Y PROD LENG I;42HU03;HU;HUMANIDADES;OBLIGATORIO;01;4;0;2/05/2016;EDALVARE;30/09/2019;ECCATAY;4;653;202;310;0;0;0;0;1165;602;126;279;0;0;0;0;1007;500;99;253;0;0;852;102;27;26;0;0;155;44;8;12;0;0;64;15.60215054;14.24576271;16.96254682;;;15.60348669
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA420;MATEMÁTICA BÁSICA;MATEMÁTICA BÁSICA;42MA420;MA;CIENCIAS;OBLIGATORIO;01;6;0;2/05/2016;EDALVARE;28/06/2018;MZAVALA;6;816;361;319;125;469;34;500;2624;707;236;281;77;434;15;413;2163;436;124;223;52;348;1183;271;112;58;25;86;552;74;42;28;19;41;204;13.04423381;12.04123711;16.24110672;15.36206897;15.77608142;14.49294561
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);HU316;ÉTICA Y CIUDADANÍA;ÉTICA Y CIUDADANÍA;42HU316;HU;HUMANIDADES;OBLIGATORIO;01;2;0;2/05/2016;EDALVARE;24/07/2019;CCELIS;2;749;278;316;0;0;0;0;1343;662;172;0;0;0;0;0;834;508;87;0;0;0;595;154;85;0;0;0;239;55;35;0;0;0;90;14.17957166;12.48905109;;;;13.33431138
