;COD_LINEA_NEGOCIO;COD_PRODUCTO;DESC_PRODUCTO;COD_CURRICULO;DESC_CURRICULO;COD_CURSO;DESC_CURSO;DESC_ABRE_CURSO;clave;COD_DIRECCION;NOM_DIRECCION;COD_CURSO_ELEC;CICLO;CANT_CREDITOS;CANT_CREDEQUIV;FECHA_CREACION;USUARIO_CREACION;FECHA_MODIFICACION;USUARIO_MODIFICACION;TOTAL CRED;REQUISITO;REQUISITO PYTHON;Ruta Critica
0;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;AM130;ADVERTISING MANAGEMENT;ADVERTISING MANAGEMENT;44AM130;AM;ADMINISTRACION Y MARKETING;ELECTIVO;7;3;0;2019-10-08 13:38:35;TMONDRAG;;;3;(AM75 Marketing o 120 créditos aprobados);g ;1.0
1;U;3310004;INGENIERÍA INDUSTRIAL;45;Curricula 2020-00 (Ingresantes);AM130;ADVERTISING MANAGEMENT;ADVERTISING MANAGEMENT;45AM130;AM;ADMINISTRACION Y MARKETING;ELECTIVO;7;3;0;2019-10-08 15:11:20;TMONDRAG;;;3;(AM75 Marketing o 120 créditos aprobados);AM75;1.0
2;U;3310004;INGENIERÍA INDUSTRIAL;45;Curricula 2020-00 (Ingresantes);HU543;COMPRENSIÓN Y PRODUCCIÓN DE LENGUAJE I;COMP Y PROD LENG I;45HU543;HU;HUMANIDADES;OBLIGATORIO;1;4;0;2019-10-08 15:05:23;TMONDRAG;2020-02-18 18:19:54;CPANTA;4;(HU546 Nivelación de Lenguaje o haber sido exonerado por el proceso de admisión general.);HU546;2.0
3;U;3310004;INGENIERÍA INDUSTRIAL;45;Curricula 2020-00 (Ingresantes);HU548;ÉTICA Y CIUDADANÍA;ÉTICA Y CIUDADANÍA;45HU548;HU;HUMANIDADES;OBLIGATORIO;2;2;0;2019-10-08 15:05:23;TMONDRAG;2020-02-18 18:19:54;CPANTA;2;(HU546 Nivelación de Lenguaje o haber sido exonerado por el proceso de admisión general.);HU546;0.0
4;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;HU543;COMPRENSIÓN Y PRODUCCIÓN DE LENGUAJE I;COMP Y PROD LENG I;44HU543;HU;HUMANIDADES;OBLIGATORIO;1;4;0;2019-10-08 13:33:41;TMONDRAG;2020-02-18 18:21:33;CPANTA;4;(HU546 Nivelación de Lenguaje o haber sido exonerado por el proceso de admisión general.);HU546;2.0
5;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;HU548;ÉTICA Y CIUDADANÍA;ÉTICA Y CIUDADANÍA;44HU548;HU;HUMANIDADES;OBLIGATORIO;1;2;0;2019-10-08 13:33:41;TMONDRAG;2020-02-18 18:21:33;CPANTA;2;(HU546 Nivelación de Lenguaje o haber sido exonerado por el proceso de admisión general.);HU546;0.0
6;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;HU187;TEMAS DE HISTORIA DEL PERÚ;TEMAS HISTORIA DEL PERÚ;44HU187;HU;HUMANIDADES;ELECTIVO;3;3;0;2019-10-08 13:38:35;TMONDRAG;;;3;(HU546 Nivelación de Lenguaje o haber sido exonerado por el proceso de admisión general.);HU546;0.0
7;U;3310004;INGENIERÍA INDUSTRIAL;45;Curricula 2020-00 (Ingresantes);MA420;MATEMÁTICA BÁSICA;MATEMÁTICA BÁSICA;45MA420;MA;CIENCIAS;OBLIGATORIO;1;6;0;2019-10-08 15:05:23;TMONDRAG;2020-02-18 18:19:54;CPANTA;6;(MA638 Nivelación de Matemática o haber sido exonerado por el proceso de admisión general.);MA638;3.0
8;U;3310004;INGENIERÍA INDUSTRIAL;45;Curricula 2020-00 (Ingresantes);MA465;QUÍMICA;QUÍMICA;45MA465;MA;CIENCIAS;OBLIGATORIO;1;4;0;2019-10-08 15:05:23;TMONDRAG;2020-02-18 18:19:54;CPANTA;4;(MA638 Nivelación de Matemática o haber sido exonerado por el proceso de admisión general.);MA638;0.0
9;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;IN142;FUNDAMENTOS DE INGENIERÍA INDUSTRIAL;FUNDAMENT DE INGEN INDUST;44IN142;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;1;3;0;2019-10-08 13:33:41;TMONDRAG;2020-02-18 18:21:33;CPANTA;3;(MA638 Nivelación de Matemática o haber sido exonerado por el proceso de admisión general.);MA638;1.0
10;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;MA420;MATEMÁTICA BÁSICA;MATEMÁTICA BÁSICA;44MA420;MA;CIENCIAS;OBLIGATORIO;1;6;0;2019-10-08 13:33:41;TMONDRAG;2020-02-18 18:21:33;CPANTA;6;(MA638 Nivelación de Matemática o haber sido exonerado por el proceso de admisión general.);MA638;3.0
11;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;MA465;QUÍMICA;QUÍMICA;44MA465;MA;CIENCIAS;OBLIGATORIO;2;4;0;2019-10-08 13:33:41;TMONDRAG;2020-02-18 18:21:33;CPANTA;4;(MA638 Nivelación de Matemática o haber sido exonerado por el proceso de admisión general.);MA638;0.0
12;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;AD185;INTRAPRENEURSHIP;INTRAPRENEURSHIP;44AD185;IE;INICIATIVA EMPRESARIAL;ELECTIVO;6;3;0;2019-10-08 13:38:35;TMONDRAG;;;3;100 créditos aprobados;;0.0
13;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;AD687;DESIGN THINKING;DESIGN THINKING;44AD687;IE;INICIATIVA EMPRESARIAL;ELECTIVO;6;3;0;2019-10-08 13:38:35;TMONDRAG;;;3;100 créditos aprobados;;0.0
14;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;AH66;GESTIÓN DEL TALENTO;GESTIÓN DEL TALENTO;44AH66;AH;ADMINISTRACION Y RECURSOS HUMANOS;ELECTIVO;6;3;0;2019-10-08 13:38:35;TMONDRAG;;;3;100 créditos aprobados;;0.0
15;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;AH67;LIDERAZGO Y PENSAMIENTO SISTÉMICO;LIDERAZGO Y PENSAMIENTO S;44AH67;AH;ADMINISTRACION Y RECURSOS HUMANOS;ELECTIVO;6;3;0;2019-10-08 13:38:35;TMONDRAG;;;3;100 créditos aprobados;;0.0
16;U;3310004;INGENIERÍA INDUSTRIAL;44;Curricula 2020-00;HU522;LA INEVITABLE GLOBALIZACIÓN;LA INEVITABLE GLOBALIZACI;44HU522;HU;HUMANIDADES;ELECTIVO;6;3;0;2019-10-08 13:38:35;TMONDRAG;;;3;100 créditos aprobados;;0.0
17;U;3310004;INGENIERÍA INDUSTRIAL;45;Curricula 2020-00 (Ingresantes);IN158;GESTIÓN DEL CAPITAL HUMANO;GESTIÓN DEL CAPITAL HUMAN;45IN158;IN;INGENIERIA INDUSTRIAL;ELECTIVO;5;3;0;2019-10-08 15:11:20;TMONDRAG;;;3;100 créditos aprobados;;0.0
18;U;3310004;INGENIERÍA INDUSTRIAL;45;Curricula 2020-00 (Ingresantes);IN347;FINANZAS;FINANZAS;45IN347;IN;INGENIERIA INDUSTRIAL;ELECTIVO;5;3;0;2019-10-08 15:11:20;TMONDRAG;;;3;100 créditos aprobados;;0.0
19;U;3310004;INGENIERÍA INDUSTRIAL;45;Curricula 2020-00 (Ingresantes);IN344;ENFOQUE AL CLIENTE;ENFOQUE AL CLIENTE;45IN344;IN;INGENIERIA INDUSTRIAL;ELECTIVO;5;3;0;2019-10-08 15:11:20;TMONDRAG;;;3;100 créditos aprobados;;0.0
